batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed,k_flag,bb_flag,hr_flag,babip_flag,avg_flag,any_flag
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Jon Lieber,liebejo01,2004,10000,0.1279,0.0374,0.0411,0.366,0.396,0.611,0.393,4022658782,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Carlos Silva,silvaca01,2005,10000,0.101,0.0377,0.0458,0.386,0.416,0.651,0.4,3337924465,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Cliff Lee,leecl02,2010,10000,0.1635,0.0402,0.0353,0.329,0.363,0.536,0.369,3205236709,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Phil Hughes,hugheph01,2014,10000,0.1533,0.0367,0.0392,0.352,0.383,0.578,0.39,2020591318,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,George Kirby,kirbyge01,2023,10000,0.1497,0.0404,0.0358,0.35,0.383,0.565,0.388,2127808743,False,False,False,True,False,True
Deadball,Sam Crawford,crawfsa01,1911,Control,Red Lucas,lucasre01,1933,10000,0.1009,0.0429,0.0354,0.362,0.396,0.577,0.379,636519465,False,False,False,True,False,True
Deadball,Sam Crawford,crawfsa01,1911,Control,Jon Lieber,liebejo01,2004,10000,0.1322,0.0383,0.0245,0.328,0.36,0.495,0.361,2435991816,False,False,False,True,False,True
Deadball,Sam Crawford,crawfsa01,1911,Control,Carlos Silva,silvaca01,2005,10000,0.0995,0.0401,0.0303,0.356,0.388,0.555,0.375,626848525,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,Bill Burns,burnsbi01,1908,10000,0.126,0.0596,0.0408,0.354,0.398,0.585,0.377,335396005,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.133,0.1178,0.0351,0.347,0.432,0.576,0.38,3735922116,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1693,0.1155,0.0284,0.324,0.41,0.51,0.376,2361381358,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,Babe Adams,adamsba01,1920,10000,0.1553,0.0495,0.0365,0.328,0.368,0.535,0.364,1028158485,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,Red Lucas,lucasre01,1933,10000,0.0984,0.0518,0.0509,0.39,0.428,0.665,0.399,652961768,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1805,0.1256,0.028,0.31,0.405,0.486,0.366,1176319353,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,Jon Lieber,liebejo01,2004,10000,0.1237,0.0517,0.0476,0.369,0.408,0.632,0.389,2614679122,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,Carlos Silva,silvaca01,2005,10000,0.0991,0.0525,0.049,0.394,0.432,0.667,0.406,3430868119,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,Cliff Lee,leecl02,2010,10000,0.1495,0.0555,0.0391,0.336,0.379,0.552,0.369,2706407317,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,Phil Hughes,hugheph01,2014,10000,0.1494,0.053,0.0386,0.342,0.384,0.56,0.377,2699600488,False,False,False,True,False,True
Deadball,Tris Speaker,speaktr01,1912,Control,George Kirby,kirbyge01,2023,10000,0.1403,0.0529,0.0434,0.353,0.394,0.59,0.382,4126120282,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Bill Burns,burnsbi01,1908,10000,0.1814,0.0389,0.051,0.353,0.384,0.612,0.397,3166442232,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.185,0.0849,0.0577,0.352,0.413,0.633,0.393,3158873493,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.2048,0.0918,0.0434,0.32,0.391,0.555,0.376,3409865229,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Babe Adams,adamsba01,1920,10000,0.2069,0.0225,0.0507,0.333,0.353,0.577,0.382,3297847144,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Red Lucas,lucasre01,1933,10000,0.155,0.0214,0.0627,0.369,0.39,0.665,0.393,3813537325,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.2188,0.0987,0.0407,0.302,0.379,0.52,0.362,4263513453,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Dennis Eckersley,eckerde01,1985,10000,0.2106,0.0246,0.0479,0.324,0.348,0.555,0.375,751376885,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Bret Saberhagen,saberbr01,1994,10000,0.2057,0.0226,0.0558,0.333,0.355,0.594,0.377,2338462503,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Jon Lieber,liebejo01,2004,10000,0.1719,0.0238,0.0603,0.363,0.384,0.656,0.396,3386501531,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Carlos Silva,silvaca01,2005,10000,0.153,0.0212,0.0591,0.372,0.392,0.662,0.398,460622821,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Cliff Lee,leecl02,2010,10000,0.1996,0.0224,0.0568,0.335,0.357,0.592,0.376,1342592693,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,Phil Hughes,hugheph01,2014,10000,0.1896,0.0259,0.0535,0.344,0.367,0.605,0.386,2894692287,False,False,False,True,False,True
Deadball,Heinie Zimmerman,zimmehe01,1912,Control,George Kirby,kirbyge01,2023,10000,0.1913,0.0247,0.0539,0.347,0.369,0.605,0.39,2775047436,False,False,False,True,False,True
Gap-King,Tris Speaker,speaktr01,1923,Control,Bill Burns,burnsbi01,1908,10000,0.1189,0.073,0.0619,0.393,0.443,0.707,0.406,2052440962,False,False,False,True,False,True
Gap-King,Tris Speaker,speaktr01,1923,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.124,0.1221,0.0614,0.38,0.464,0.702,0.394,3448089905,False,False,False,True,False,True
Gap-King,Tris Speaker,speaktr01,1923,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1505,0.137,0.0535,0.348,0.444,0.624,0.375,526252831,False,False,False,True,False,True
