player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
ehmkeho01,Howard Ehmke,1927,pitcher,SP,750,0.0,18.82,1.88,7624185
ordonma01,Magglio Ordonez,2000,hitter,UTIL,600,18.85,0.0,1.88,7624185
greenke01,Kent Greenfield,1927,pitcher,SP,750,0.0,18.72,1.87,7591609
kremera01,Ray Kremer,1927,pitcher,SP,750,0.0,18.44,1.84,7493883
kentje01,Jeff Kent,2000,hitter,UTIL,600,18.4,0.0,1.84,7493883
branyru01,Russell Branyan,2000,hitter,UTIL,600,18.27,0.0,1.83,7461307
burksel01,Ellis Burks,2000,hitter,UTIL,600,18.33,0.0,1.83,7461307
rolensc01,Scott Rolen,2000,hitter,UTIL,600,18.35,0.0,1.83,7461307
leiteal01,Al Leiter,2000,pitcher,SP,750,0.0,18.16,1.82,7428732
haineje01,Jesse Haines,1927,pitcher,SP,750,0.0,18.13,1.81,7396157
vaughmo01,Mo Vaughn,2000,hitter,UTIL,600,18.15,0.0,1.81,7396157
crowdal01,General Crowder,1927,pitcher,SP,622,0.0,18.02,1.8,7363581
riggibi01,Bill Riggins,1927,hitter,UTIL,600,18.01,0.0,1.8,7363581
clarkto02,Tony Clark,2000,hitter,UTIL,600,17.98,0.0,1.8,7363581
jenkifa01,Fats Jenkins,1927,hitter,UTIL,600,17.93,0.0,1.79,7331006
leede02,Derrek Lee,2000,hitter,UTIL,600,17.86,0.0,1.79,7331006
johnshe01,Heavy Johnson,1927,hitter,UTIL,600,17.77,0.0,1.78,7298430
jonesch06,Chipper Jones,2000,hitter,UTIL,600,17.76,0.0,1.78,7298430
stronjo02,Joe Strong,1927,pitcher,SP,566,0.0,17.71,1.77,7265855
cartecl01,Cliff Carter,1927,pitcher,SP,748,0.0,17.61,1.76,7233279
dallaeg01,Eggie Dallard,1927,hitter,UTIL,600,17.64,0.0,1.76,7233279
mcdonwe01,Webster McDonald,1927,pitcher,SP,487,0.0,17.63,1.76,7233279
dyeje01,Jermaine Dye,2000,hitter,UTIL,600,17.61,0.0,1.76,7233279
meusebo01,Bob Meusel,1927,hitter,UTIL,600,17.49,0.0,1.75,7200704
milleja02,Jake Miller,1927,pitcher,SP,750,0.0,17.47,1.75,7200704
johnswa01,Walter Johnson,1927,pitcher,SP,460,0.0,17.1,1.71,7070402
buhneja01,Jay Buhner,2000,hitter,UTIL,600,17.11,0.0,1.71,7070402
salmoti01,Tim Salmon,2000,hitter,UTIL,600,17.14,0.0,1.71,7070402
osborbo01,Bob Osborn,1927,pitcher,SP,485,0.0,17.0,1.7,7037827
aloumo01,Moises Alou,2000,hitter,UTIL,600,16.88,0.0,1.69,7005251
ankieri01,Rick Ankiel,2000,pitcher,SP,735,0.0,16.91,1.69,7005251
sexsori01,Richie Sexson,2000,hitter,UTIL,600,16.8,0.0,1.68,6972676
smithch06,Chuck Smith,2000,pitcher,SP,513,0.0,16.75,1.67,6940100
donohpe01,Pete Donohue,1927,pitcher,SP,750,0.0,16.55,1.66,6907525
luquedo01,Dolf Luque,1927,pitcher,SP,750,0.0,16.37,1.64,6842374
doteloc01,Octavio Dotel,2000,pitcher,SP,563,0.0,16.4,1.64,6842374
hillca01,Carmen Hill,1927,pitcher,SP,750,0.0,16.27,1.63,6809798
scalege01,George Scales,1927,hitter,UTIL,600,16.32,0.0,1.63,6809798
campbbu01,Bullet Campbell,1927,pitcher,SP,446,0.0,16.24,1.62,6777223
fothebo01,Bob Fothergill,1927,hitter,UTIL,600,16.17,0.0,1.62,6777223
brewech02,Chet Brewer,1927,pitcher,SP,569,0.0,16.11,1.61,6744648
roberro02,Roy Roberts,1927,pitcher,SP,624,0.0,16.11,1.61,6744648
willijo04,John Williams,1927,pitcher,SP,459,0.0,16.15,1.61,6744648
berkmla01,Lance Berkman,2000,hitter,UTIL,600,16.12,0.0,1.61,6744648
persoro01,Robert Person,2000,pitcher,SP,743,0.0,16.05,1.6,6712072
hubbaje01,Jesse Hubbard,1927,pitcher,SP,524,0.0,15.95,1.59,6679497
bellle01,Les Bell,1927,hitter,UTIL,600,15.81,0.0,1.58,6646921
gilesbr02,Brian Giles,2000,hitter,UTIL,600,15.79,0.0,1.58,6646921
mcgrabo01,Bob McGraw,1927,pitcher,SP,441,0.0,15.61,1.56,6581770
abreubo01,Bobby Abreu,2000,hitter,UTIL,600,15.56,0.0,1.56,6581770
galaran01,Andres Galarraga,2000,hitter,UTIL,600,15.57,0.0,1.56,6581770
ulricdu01,Frank Ulrich,1927,pitcher,SP,750,0.0,15.48,1.55,6549195
graydo02,Sam Gray,1927,pitcher,SP,586,0.0,15.44,1.54,6516619
alfoned01,Edgardo Alfonzo,2000,hitter,UTIL,600,15.32,0.0,1.53,6484044
thomato02,Tommy Thomas,1927,pitcher,SP,750,0.0,15.21,1.52,6451468
vaughgr01,Greg Vaughn,2000,hitter,UTIL,600,15.21,0.0,1.52,6451468
cummija01,Jack Cummings,1927,hitter,UTIL,600,15.1,0.0,1.51,6418893
johnswa04,Wade Johnston,1927,hitter,UTIL,600,15.12,0.0,1.51,6418893
scottja01,Jack Scott,1927,pitcher,SP,750,0.0,15.05,1.5,6386318
ruethdu01,Dutch Ruether,1927,pitcher,SP,750,0.0,14.84,1.48,6321167
brownke01,Kevin Brown,2000,pitcher,SP,750,0.0,14.77,1.48,6321167
harrisl01,Slim Harriss,1927,pitcher,SP,750,0.0,14.67,1.47,6288591
erstada01,Darin Erstad,2000,hitter,UTIL,600,14.68,0.0,1.47,6288591
jonesan01,Andruw Jones,2000,hitter,UTIL,600,14.75,0.0,1.47,6288591
tuckemi01,Michael Tucker,2000,hitter,UTIL,600,14.71,0.0,1.47,6288591
faberre01,Red Faber,1927,pitcher,SP,488,0.0,14.39,1.44,6190865
gonzalu01,Luis Gonzalez,2000,hitter,UTIL,600,14.45,0.0,1.44,6190865
lyonste01,Ted Lyons,1927,pitcher,SP,750,0.0,14.25,1.43,6158289
tolsoch01,Charles Tolson,1927,hitter,UTIL,600,14.34,0.0,1.43,6158289
astacpe01,Pedro Astacio,2000,pitcher,SP,750,0.0,14.15,1.42,6125714
haneyfr01,Fred Haney,1927,hitter,UTIL,600,13.97,0.0,1.4,6060563
flourwi01,Willis Flournoy,1927,pitcher,SP,410,0.0,13.95,1.39,6027988
foxxji01,Jimmie Foxx,1927,hitter,UTIL,600,13.83,0.0,1.38,5995412
wardda01,Daryle Ward,2000,hitter,UTIL,600,13.65,0.0,1.37,5962837
parkch01,Chan Ho Park,2000,pitcher,SP,750,0.0,13.6,1.36,5930261
smithea02,Earl Smith,1927,hitter,UTIL,600,13.39,0.0,1.34,5865110
valenjo03,Jose Valentin,2000,hitter,UTIL,600,13.37,0.0,1.34,5865110
coopesa01,Sam Cooper,1927,pitcher,SP,299,0.0,13.33,1.33,5832535
mcdonlu01,Luther McDonald,1927,pitcher,SP,611,0.0,13.33,1.33,5832535
brookir01,Irvin Brooks,1927,hitter,UTIL,600,13.2,0.0,1.32,5799959
mussimi01,Mike Mussina,2000,pitcher,SP,750,0.0,13.21,1.32,5799959
redmama01,Mark Redman,2000,pitcher,SP,651,0.0,13.16,1.32,5799959
connasa01,Sarge Connally,1927,pitcher,SP,750,0.0,12.95,1.3,5734809
levisos01,Oscar Levis,1927,pitcher,SP,446,0.0,12.95,1.3,5734809
finlest01,Steve Finley,2000,hitter,UTIL,600,13.04,0.0,1.3,5734809
foulkke01,Keith Foulke,2000,pitcher,SP,350,0.0,13.03,1.3,5734809
caminke01,Ken Caminiti,2000,hitter,UTIL,600,12.86,0.0,1.29,5702233
drewjd01,J. D. Drew,2000,hitter,UTIL,600,12.84,0.0,1.28,5669658
welzeto01,Tony Welzer,1927,pitcher,SP,750,0.0,12.65,1.27,5637082
palmede01,Dean Palmer,2000,hitter,UTIL,600,12.73,0.0,1.27,5637082
kellyge01,George Kelly,1927,hitter,UTIL,600,12.57,0.0,1.26,5604507
cannawa01,Walter Cannady,1927,hitter,UTIL,600,12.51,0.0,1.25,5571931
mcnaihu01,Hurley McNair,1927,hitter,UTIL,600,12.39,0.0,1.24,5539356
ryanre01,Red Ryan,1927,pitcher,SP,612,0.0,12.27,1.23,5506780
sweenmi01,Mike Sweeney,2000,hitter,UTIL,600,12.34,0.0,1.23,5506780
higgibo02,Bobby Higginson,2000,hitter,UTIL,600,12.2,0.0,1.22,5474205
falkbi01,Bibb Falk,1927,hitter,UTIL,600,12.11,0.0,1.21,5441630
leesc01,Script Lee,1927,pitcher,SP,367,0.0,12.14,1.21,5441630
fletcda01,Darrin Fletcher,2000,hitter,UTIL,600,12.1,0.0,1.21,5441630
wolfra02,Randy Wolf,2000,pitcher,SP,750,0.0,12.1,1.21,5441630
sherdbi01,Bill Sherdel,1927,pitcher,SP,750,0.0,11.98,1.2,5409054
fitzsfr01,Freddie Fitzsimmons,1927,pitcher,SP,750,0.0,11.93,1.19,5376479
daubabr01,Brian Daubach,2000,hitter,UTIL,600,11.88,0.0,1.19,5376479
kleskry01,Ryan Klesko,2000,hitter,UTIL,600,11.86,0.0,1.19,5376479
schilcu01,Curt Schilling,2000,pitcher,SP,750,0.0,11.94,1.19,5376479
garcico01,Cocaína García,1927,pitcher,SP,422,0.0,11.76,1.18,5343903
josepne01,Newt Joseph,1927,hitter,UTIL,600,11.71,0.0,1.17,5311328
frymatr01,Travis Fryman,2000,hitter,UTIL,600,11.7,0.0,1.17,5311328
hanseda01,Dave Hansen,2000,hitter,UTIL,600,11.66,0.0,1.17,5311328
clarkwi02,Will Clark,2000,hitter,UTIL,600,11.56,0.0,1.16,5278752
finlech01,Chuck Finley,2000,pitcher,SP,750,0.0,11.56,1.16,5278752
batisto01,Tony Batista,2000,hitter,UTIL,600,11.53,0.0,1.15,5246177
grievbe01,Ben Grieve,2000,hitter,UTIL,600,11.49,0.0,1.15,5246177
vidrojo01,Jose Vidro,2000,hitter,UTIL,600,11.48,0.0,1.15,5246177
gardnpi01,Ping Gardner,1927,pitcher,SP,250,0.0,11.4,1.14,5213601
grantge01,George Grantham,1927,hitter,UTIL,600,11.36,0.0,1.14,5213601
hollabi03,Bill Holland,1927,pitcher,SP,377,0.0,11.38,1.14,5213601
neisbe01,Bernie Neis,1927,hitter,UTIL,600,11.44,0.0,1.14,5213601
garcino01,Nomar Garciaparra,2000,hitter,UTIL,600,11.39,0.0,1.14,5213601
seguife01,Fernando Seguignol,2000,hitter,UTIL,600,11.43,0.0,1.14,5213601
vazquja01,Javier Vazquez,2000,pitcher,SP,750,0.0,11.41,1.14,5213601
spiezsc01,Scott Spiezio,2000,hitter,UTIL,600,11.29,0.0,1.13,5181026
stevefr01,Frank Stevens,1927,pitcher,SP,519,0.0,11.18,1.12,5148450
welshji01,Jimmy Welsh,1927,hitter,UTIL,600,11.17,0.0,1.12,5148450
camermi01,Mike Cameron,2000,hitter,UTIL,600,11.22,0.0,1.12,5148450
ruschgl01,Glendon Rusch,2000,pitcher,SP,750,0.0,11.18,1.12,5148450
harrira01,Rattler Harrison,1927,pitcher,SP,332,0.0,11.13,1.11,5115875
fullmbr01,Brad Fullmer,2000,hitter,UTIL,600,11.1,0.0,1.11,5115875
rodrihe02,Henry Rodriguez,2000,hitter,UTIL,600,11.1,0.0,1.11,5115875
stamphu01,Hulon Stamps,1927,pitcher,SP,533,0.0,11.02,1.1,5083300
millake01,Kevin Millar,2000,hitter,UTIL,600,10.98,0.0,1.1,5083300
tracyan01,Andy Tracy,2000,hitter,UTIL,600,10.89,0.0,1.09,5050724
glavito02,Tom Glavine,2000,pitcher,SP,750,0.0,10.84,1.08,5018149
kimby01,Byung-Hyun Kim,2000,pitcher,SP,320,0.0,10.75,1.08,5018149
sauersc01,Scott Sauerbeck,2000,pitcher,SP,349,0.0,10.81,1.08,5018149
paschbe01,Ben Paschal,1927,hitter,UTIL,600,10.69,0.0,1.07,4985573
lampkto01,Tom Lampkin,2000,hitter,UTIL,600,10.66,0.0,1.07,4985573
remlimi01,Mike Remlinger,2000,pitcher,SP,311,0.0,10.6,1.06,4952998
tatisfe01,Fernando Tatis,2000,hitter,UTIL,600,10.35,0.0,1.04,4887847
maddugr01,Greg Maddux,2000,pitcher,SP,750,0.0,10.29,1.03,4855271
edwarfo01,Foster Edwards,1927,pitcher,SP,413,0.0,10.24,1.02,4822696
nehfar01,Art Nehf,1927,pitcher,SP,313,0.0,10.21,1.02,4822696
rixeyep01,Eppa Rixey,1927,pitcher,SP,750,0.0,10.19,1.02,4822696
wanerpa01,Paul Waner,1927,hitter,UTIL,600,10.16,0.0,1.02,4822696
whitech03,Chaney White,1927,hitter,UTIL,600,10.24,0.0,1.02,4822696
dunstsh01,Shawon Dunston,2000,hitter,UTIL,600,10.17,0.0,1.02,4822696
lopezja01,Javy Lopez,2000,hitter,UTIL,600,10.14,0.0,1.01,4790120
chambru01,Rube Chambers,1927,pitcher,SP,193,0.0,9.97,1.0,4757545
johnsge01,George Johnson,1927,hitter,UTIL,600,10.02,0.0,1.0,4757545
mcmanma01,Marty McManus,1927,hitter,UTIL,600,9.86,0.0,0.99,4724970
stewash01,Shannon Stewart,2000,hitter,UTIL,600,9.9,0.0,0.99,4724970
stoneli01,Lil Stoner,1927,pitcher,SP,750,0.0,9.81,0.98,4692394
chaveer01,Eric Chavez,2000,hitter,UTIL,600,9.82,0.0,0.98,4692394
vangiel01,Elam Vangilder,1927,pitcher,SP,750,0.0,9.71,0.97,4659819
gantro01,Ron Gant,2000,hitter,UTIL,600,9.65,0.0,0.97,4659819
loaizes01,Esteban Loaiza,2000,pitcher,SP,750,0.0,9.67,0.97,4659819
nenro01,Robb Nen,2000,pitcher,SP,256,0.0,9.67,0.97,4659819
stantmi02,Mike Stanton,2000,pitcher,SP,291,0.0,9.59,0.96,4627243
willisc01,Scott Williamson,2000,pitcher,SP,495,0.0,9.55,0.96,4627243
mannle01,Les Mann,1927,hitter,UTIL,600,9.52,0.0,0.95,4594668
walketo04,Todd Walker,2000,hitter,UTIL,600,9.5,0.0,0.95,4594668
curryru01,Rube Curry,1927,pitcher,SP,407,0.0,9.41,0.94,4562092
hamptmi01,Mike Hampton,2000,pitcher,SP,750,0.0,9.45,0.94,4562092
nomohi01,Hideo Nomo,2000,pitcher,SP,750,0.0,9.44,0.94,4562092
clarkwa02,Watson Clark,1927,pitcher,SP,305,0.0,9.29,0.93,4529517
rectoco01,Connie Rector,1927,pitcher,SP,430,0.0,9.34,0.93,4529517
bellhi01,Herman Bell,1927,pitcher,SP,255,0.0,9.23,0.92,4496941
ganzeba01,Babe Ganzel,1927,hitter,UTIL,600,9.09,0.0,0.91,4464366
jonesru02,Ruben Jones,1927,hitter,UTIL,600,9.05,0.0,0.91,4464366
smithge03,George Smith,1927,pitcher,SP,318,0.0,9.13,0.91,4464366
mcgrifr01,Fred McGriff,2000,hitter,UTIL,600,9.06,0.0,0.91,4464366
richach01,Chris Richard,2000,hitter,UTIL,600,9.09,0.0,0.91,4464366
rekarbr01,Bryan Rekar,2000,pitcher,SP,743,0.0,9.03,0.9,4431791
